,bad_noun,count_x,bad_per(%),bad_rank,good_noun,count_y,good_per(%),good_rank,per_diff
0,태초,36994,1.400973721044372,1.0,태초,5586,0.947270957479642,3.0,0.45370276356473005
1,에픽,28654,1.0851354544738452,2.0,에픽,5251,0.8904618327471535,5.0,0.19467362172669167
2,무기,27556,1.043553869738301,3.0,무기,3912,0.6633949132940135,8.0,0.38015895644428765
3,버퍼,26027,0.9856501875337046,4.0,버퍼,5307,0.8999582834487039,4.0,0.08569190408500071
4,그냥,24971,0.9456591552197385,5.0,그냥,2378,0.4032599958622608,21.0,0.5423991593574777
5,캐릭,24911,0.943386937474627,6.0,캐릭,8211,1.392417084114812,1.0,-0.44903014664018503
6,하나,17921,0.6786735701691136,7.0,하나,3278,0.5558815249943191,13.0,0.12279204517479447
7,존나,17167,0.6501193671722099,8.0,존나,2259,0.3830800381214664,28.0,0.26703932905074346
8,새끼,16887,0.6395156843616886,9.0,새끼,1878,0.3184702574555617,35.0,0.3210454269061269
9,진짜,16331,0.6184597999236535,10.0,진짜,3597,0.6099773780977931,10.0,0.008482421825860453
10,스킬,15633,0.592026333488854,11.0,스킬,1688,0.28625015686101607,40.0,0.30577617662783796
11,정도,14727,0.5577158455376674,12.0,정도,3756,0.6369405149111234,9.0,-0.07922466937345596
12,지금,14410,0.5457109617843271,13.0,지금,6462,1.0958225791681788,2.0,-0.5501116173838517
13,항아리,14397,0.545218647939553,14.0,항아리,2744,0.46532608437596445,18.0,0.07989256356358854
14,딜러,13323,0.5045459503020534,15.0,딜러,2993,0.5075513741025006,15.0,-0.0030054238004472156
15,본캐,12830,0.4858758944963857,16.0,본캐,2525,0.4281881789538303,19.0,0.05768771554255536
16,씨발,12656,0.47928646303556177,17.0,씨발,425,0.07207127764569421,221.0,0.40721518538986756
17,던파,11960,0.452928737192266,18.0,던파,3519,0.5967501789063481,11.0,-0.14382144171408207
18,세트,11617,0.4399392257493774,19.0,세트,1561,0.2647135633057145,49.0,0.1752256624436629
19,생각,11615,0.43986348515787366,20.0,생각,4734,0.8027892432346269,6.0,-0.3629257580767532
20,알다,11317,0.42857813702381886,21.0,알다,2325,0.3942722835911507,23.0,0.034305853432668176
21,명성,11181,0.4234277768015657,22.0,명성,907,0.15380858546975212,87.0,0.26961919133181356
22,증폭,11162,0.42270824118228034,23.0,증폭,1673,0.28370646470881505,42.0,0.1390017764734653
23,베누스,11007,0.41683834534074177,24.0,베누스,3050,0.5172174042808643,14.0,-0.1003790589401225
24,시간,10708,0.4055151269109351,25.0,시간,1075,0.182297937574403,74.0,0.22321718933653212
25,부캐,10394,0.3936238540448505,26.0,부캐,1874,0.3177919395483081,36.0,0.07583191449654242
26,시발,10191,0.3859361840072226,27.0,시발,688,0.11667068004761792,127.0,0.2692655039596047
